"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS","GPS","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","2012-07-24","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2014",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"2012-07-24","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2014",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"2012-07-24","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2014",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"2012-07-24","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2014",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"24-VII-2012","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Pto. Morcuera",NA,"Madrid",NA,"2011-07-24",NA,NA,NA,"P. Vargas","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Valsaín",NA,"Segovia",NA,"2010-07-14",NA,NA,NA,"R. Outerelo","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Valsaín",NA,"Segovia",NA,"2010-07-14",NA,NA,NA,"R. Outerelo","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Valsaín",NA,"Segovia",NA,"2010-07-14",NA,NA,NA,"R. Outerelo","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Valsaín",NA,"Segovia",NA,"2010-07-14",NA,NA,NA,"R. Outerelo","C. Ornosa","2014",1,NA,"UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"C. Ornosa",NA,NA,NA,NA,NA
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2014",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2014",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2014",1,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"J. Freijanes","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Punta de la Mona",NA,"Granada",NA,"19-VIII-2011","0 m",NA,NA,"V. Monserrat","C. Ornosa","2012",NA,"1 obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Bombus","terrestris","Panticosa",NA,"Huesca",NA,"VII-2011","0 m",NA,NA,"CA","C. Ornosa","2013",1,NA,"UCME"
"Bombus ","Bombus","terrestris","Panticosa",NA,"Huesca",NA,"VII-2011","0 m",NA,NA,"CA","C. Ornosa","2013",1,NA,"UCME"
"Bombus ","Bombus","terrestris","Nava de San Pedro","Sierra de Cazorla","Jaén",NA,"17-VI-2010",NA,NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Alameda del Moncayo",NA,"Zaragoza",NA,"VII-2010",NA,NA,NA,"C. Ornosa","C. Ornosa","2013",1,NA,"UCME"
"Bombus ","Bombus","terrestris","Alameda del Moncayo",NA,"Zaragoza",NA,"VII-2010",NA,NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Tierga ",NA,"Zaragoza",NA,"VII-2010",NA,NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","SªNoguerira","Braganza",NA,"Portugal","2010-05-22",NA,NA,NA,NA,"C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","SªNoguerira","Braganza",NA,"Portugal","2010-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bombus ","Bombus","terrestris","SªNoguerira","Braganza",NA,"Portugal","2010-05-22",NA,NA,NA,NA,NA,"2012",NA,"1"," UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"24-VII-2012","2.170 m",NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"obrera","Botánico"
"Bombus ","Bombus","terrestris",NA,"PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"obrera","Botánico"
"Bombus ","Bombus","terrestris",NA,"PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"obrera","Botánico"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"D. Romero","C. Ornosa","2012",1,NA,"UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Ornosa","2012",1,NA,"UCME"
"Bombus","Thoracobombus","humilis","Pardines","Pirineos","Gerona",NA,"6-VI-2012",NA,NA,NA,"A. Glez-Posada","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Mergabombus","ruderatus ","Cerro Colgado, pinarcillo","Sierra de Guadarrama","Madrid","España","16-VII-2012",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,NA,NA
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Megabombus","hortorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Megabombus","hortorum","La Molina Roc Blanco",NA,"Gerona","España","24-VII-2009",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,NA,"UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,NA,NA
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,NA,NA
"Bombus ","Thoracobombus","pascuorum","Moscoso",NA,"Pontevedra","España","10-28-VII-2012",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado, pinarcillo","Sierra de Guadarrama","Madrid","España","16-VII-2012",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Nava de San Pedro","P.N. Sierra de Cazorla…","Jaén","España","17-VI-2010",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,NA,NA
"Bombus","Megabombus","reinigiellus","La Carihuela, Veleta","Monachil","Granada","España","20-VIII-2006","3200",NA,NA,"F. J. Ortiz-Sánchez","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus","Megabombus","reinigiellus","Tajos Virgen, Veleta","Capileira","Granada","España","20-VIII-2006","3255",NA,NA,"F. J. Ortiz-Sánchez","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Ribes de Fresser",NA,"Gerona","España","2009",NA,NA,NA,"P. Vargas","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Megabombus","hortorum","Ribes de Fresser",NA,"Gerona","España","15-VI-2008",NA,NA,NA,"P. Vargas","C. Ornosa","2012",NA,"1obrera","UCME"
"Bombus ","Megabombus","hortorum","Áliva, refugio","Picos de Europa","Cantabria","España","17-VI-2006",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Chía, mirador","Valle de Benasque","Huesca","España","14-VII-2011",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus ","Megabombus","hortorum","Baños de Benasque",NA,"Huesca","España","14-VII-2011",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus ","Megabombus","hortorum","Vallibierna",NA,"Huesca","España","15-VII-2011",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus ","Megabombus","hortorum","Bielva",NA,"Cantabria ","España","VII-2007",NA,NA,NA,"P. Vargas","C. Ornosa","2012",NA,NA,NA
"Bombus ","Thoracobombus","pascuorum","Quintanilla",NA,"Cantabria","España","VII-2007",NA,NA,NA,"P. Vargas","C. Ornosa","2012",NA,"1obrera","UCME"
"Bombus ","Bombus","terrestris","Puerto de la Morcuera",NA,"Madrid","España","24-VII-2008",NA,NA,NA,"P. Vargas","C. Ornosa","2012",NA,"1 reina","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Ornosa","2012",1,NA,"UCME"
"Osmia",NA,"latreille","La Herradura",NA,"Granada","España","2-IV-2012",NA,NA,NA,"V. Monserrat","J. Ortiz","2012",1,NA,"UCME"
"Apis",NA,"mellifera ","Crta. Puigcerdá-Das. Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,NA,"V. Monserrat","F. Torres","2012",NA,"1","UCME"
"Apis",NA,"mellifera ","Crta. Puigcerdá-Das. Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,NA,"V. Monserrat",NA,NA,NA,NA,NA
"Apis",NA,"mellifera ","Crta. Puigcerdá-Das. Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,NA,"V. Monserrat",NA,"2012",1,NA,"UCME"
"Anthidium",NA,"oblongatum","Crta. Puigcerdá-Das. Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,NA,"V. Monserrat",NA,NA,NA,NA,NA
"Chalicodoma",NA,"ericetorum","Crta. Puigcerdá-Das. Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,NA,"V. Monserrat","C. Onosa","2011",NA,"1 obrera","Botánico"
"Megachile",NA,"circucimcta","Avellanet",NA,"Lérida","España","6-VI-2012",NA,NA,NA,"V. Monserrat","C. Onosa","2011",NA,"1 obrera","Botánico"
"Osmia",NA,"aurulenta","Crta. Puigcerdá-Das. Cerca de Alp ",NA,"Gerona","España","6-VI-2012",NA,NA,NA,"V. Monserrat","C. Onosa","2011",NA,"1 obrera","Botánico"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","2011",NA,"1 obrera","Botánico"
"Ceratina",NA,"cyanea","Venta de los Mosquitos",NA,"Segovia","España","VI-2010","1450",NA,NA,"R. Outerelo","C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Tama","Tama","Santander","España","31-XI-2011",NA,NA,NA,"C. Onosa",NA,NA,NA,"5 obreras",NA
"Apis",NA,"mellifera","Tama","Tama","Santander","España","31-XI-2011",NA,NA,NA,"C. Onosa",NA,NA,NA,NA,NA
"Apis",NA,"mellifera","Tama","Tama","Santander","España","31-XI-2011",NA,NA,NA,"C. Onosa","C. Onosa","2011",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Tama","Tama","Santander","España","31-XI-2011",NA,NA,NA,"C. Onosa",NA,NA,NA,NA,NA
"Apis",NA,"mellifera","Sta. Mª de Lebeña","Lebeña","Santander","España","3-III-2012",NA,NA,NA,"C. Onosa","C. Onosa","2011",NA,"1 obrera","Botánico"
"Apis ",NA,"mellifera ","Alto Atlas",NA,NA,"Marruecos",NA,NA,NA,NA,NA,"C. Ornosa","2012",NA,"1 obrera",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Ornosa","2012",NA,"1 obrera",NA
"Apis",NA,"mellifera","Puigcerdá",NA,"Gerona","España","2012",NA,NA,NA,"Pablo Vargas","C. Ornosa","2012",NA,"1 obrera",NA
"Apis",NA,"mellifera","Seo de Urgell",NA,"Lérida","España","2012",NA,NA,NA,"Pablo Vargas","C. Onosa","2012",NA,"10 obreras","Botánico"
"Apis",NA,"mellifera","Crta. Puigcerdá-Das. (3) Cerca de Alp ",NA,"Gerona",NA,"6-VI-2012",NA,NA,NA,"A. Glez.-Posada","C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Crta. Puigcerdá-Das. (3) Cerca de Alp ",NA,"Gerona",NA,"6-VI-2012",NA,NA,NA,"A. Glez.-Posada",NA,NA,NA,NA,NA
"Apis",NA,"mellifera","Crta. Puigcerdá-Das. (3) Cerca de Alp ",NA,"Gerona",NA,"6-VI-2012",NA,NA,NA,"A. Glez.-Posada","C. Onosa","2012",NA,"1 obrera","Botánico"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Lavaderos","Sierra Nevada","Granada","España","2012",NA,NA,NA,"Pablo Vargas",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Tours",NA,NA,"Francia","2012",NA,NA,NA,NA,"C. Onosa","2012",NA,"1 obrera","Botánico"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"C. Ornosa","C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"C. Ornosa","C. Onosa","2012",NA,"1 obrera","Botánico"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"C. Ornosa","C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"C. Ornosa","C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"C. Ornosa","C. Onosa","2012",NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"C. Ornosa","C. Onosa","2012",NA,"3 obreras","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"C. Ornosa",NA,NA,NA,NA,NA
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"C. Ornosa","C. Onosa","2012",NA,"3 obreras","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"D. Romero","C. Onosa","2012",NA,"3 obreras","Botánico"
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"D. Romero",NA,NA,NA,NA,NA
"Apis",NA,"mellifera","Veleta ""arriba"" (5)","Sierra Nevada","Granada",NA,"25-VII-2012","3300",NA,NA,"D. Romero","C. Onosa","2012",NA,"1 obrera","UCME"
"Apis",NA,"mellifera",NA,"Sierra Nevada","Granada",NA,"24-VII-2012",NA,NA,NA,"Pablo Vargas","C. Onosa","2011",NA,"1 obrera","UCME"
"Apis",NA,"mellifera",NA,"Sierra Nevada","Granada",NA,"24-VII-2012",NA,NA,NA,"Pablo Vargas","C. Onosa","2012",NA,"1 obrera","UCME/Botánico"
"Apis",NA,"mellifera",NA,"Sierra Nevada","Granada",NA,"24-VII-2012",NA,NA,NA,"Pablo Vargas","C. Onosa","2012",NA,"1 obrera","UCME/Botánico"
"Apis",NA,"mellifera","Angra do Heroismo hotel","Terceira",NA,"Portugal","3-IX-2012",NA,NA,NA,"C. Onosa","C. Onosa","2012",NA,NA,"UCME/Botánico"
"Apis",NA,"mellifera","Monte do Brasil ","Terceira",NA,"Portugal","4-IX-2012",NA,NA,NA,"C. Onosa","C. Onosa","2012",NA,NA,"UCME/Botánico"
"Apis",NA,"mellifera","Angra do Heroismo universidad","Terceira",NA,"Portugal","2-IX-2012",NA,NA,NA,"C. Onosa","C. Onosa","2012",NA,NA,"UCME/Botánico"
