"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Lasioglossum",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",11,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_11"
"Lasioglossum",NA,"interruptum",NA,NA,NA,NA,NA,NA,NA,2004,"06","21",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",12,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_12"
"Lasioglossum",NA,"Interruptum",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Opuntia sp",13,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_13"
"Lasioglossum",NA,"sp",NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,"I. Bartomeus",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",14,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_14"
"Lasioglossum",NA,"interruptum",NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Dianthus caryophyllus",15,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_15"
"Lasioglossum",NA,"bimaculatum",NA,NA,NA,NA,NA,NA,NA,2004,"04","26",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Lavandula sp",16,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_16"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"04","07",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",17,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_17"
"Lasioglossum",NA,"interruptum",NA,NA,NA,NA,NA,NA,NA,2004,"06","23",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",18,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_18"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",19,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_19"
"Lasioglossum",NA,"interruptum",NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",20,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_20"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"04","27",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Lavandula sp",21,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_21"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"03","16",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Thymelea sp",22,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_22"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"04","27",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Lavandula sp",23,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_23"
"Lasioglossum",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","21",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Dianthus caryophyllus",24,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_24"
"Lasioglossum",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","21",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",25,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_25"
"Lasioglossum",NA,"bimaculatum",NA,NA,NA,NA,NA,NA,NA,2004,"10","28",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Cistus albidus",26,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_26"
"Lasioglossum",NA,"sp",NA,NA,NA,NA,NA,NA,NA,2005,"05","18",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Carpobrotus edulis",27,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_27"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"07","08",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",28,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_28"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"07","06",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",29,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_29"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"06","23",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",30,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_30"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"07","06",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",31,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_31"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",32,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_32"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",33,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_33"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",34,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_34"
"Lasioglossum",NA,"bimaculatum",NA,NA,NA,NA,NA,NA,NA,2004,"03","16",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Daucus sp",35,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_35"
"Lasioglossum",NA,"bimaculatum",NA,NA,NA,NA,NA,NA,NA,2004,"03","16",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Erica sp",36,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_36"
"Halictus",NA,"sp",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"I. Bartomeus",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",37,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_37"
"Halictus",NA,"pyrenaeus",NA,NA,NA,NA,NA,NA,NA,2005,"06","29",NA,NA,NA,"L.O. Aguado",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",38,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_38"
"Halictus",NA,"cremicornis",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",39,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_39"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","23",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",40,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_40"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","23",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",41,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_41"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",42,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_42"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",43,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_43"
"Lasioglossum",NA,"sp",NA,NA,NA,NA,NA,NA,NA,2004,"06","23",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",44,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_44"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",45,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_45"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"04","07",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Dianthus sp",46,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_46"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"07","07",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",47,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_47"
"Lasioglossum",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",48,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_48"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Allium sp",49,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_49"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",50,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_50"
"Lasioglossum",NA,"sp",NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,"I. Bartomeus",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","NA NA",51,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_51"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",52,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_52"
"Lasioglossum",NA,"smaragdulus",NA,NA,NA,NA,NA,NA,NA,2004,"06","23",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Daucus sp",53,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_53"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",54,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_54"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Daucus sp",55,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_55"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"07","06",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",56,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_56"
"Lasioglossum",NA,"smaragdulus",NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,"I. Bartomeus",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","NA NA",57,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_57"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","21",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Allium sp",58,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_58"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Opuntia sp",59,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_59"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Opuntia sp",60,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_60"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Opuntia sp",61,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_61"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Opuntia sp",62,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_62"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"03","16",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Opuntia sp",63,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_63"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"04","28",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Opuntia sp",64,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_64"
"Apis",NA,"mellifera",NA,NA,NA,NA,NA,NA,NA,2004,"03","16",NA,NA,NA,"I. Bartomeus",0,0,1,NA,"https://doi.org/10.1007/s00442-007-0946-1","Opuntia sp",65,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_65"
"Ceratina",NA,"sp",NA,NA,NA,NA,NA,NA,NA,2005,NA,"01",NA,NA,NA,"C. Molina",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",66,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_66"
"Halictus",NA,"pyrenaeus",NA,NA,NA,NA,NA,NA,NA,2005,"06","22",NA,NA,NA,"L.O. Aguado",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Allium sp",67,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_67"
"Halictus",NA,"crenicornis",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"L.O. Aguado",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Allium sp",68,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_68"
"Halictus",NA,"subauratus",NA,NA,NA,NA,NA,NA,NA,2004,"06","23",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",69,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_69"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",70,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_70"
"Halictus",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"04","28",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Cistus salvifolius",71,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_71"
"Halictus",NA,"sp",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"I. Bartomeus",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",72,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_72"
"Lasioglossum",NA,"interruptum",NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",73,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_73"
"Andrena",NA,"grupo (morio)",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",74,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_74"
"Andrena",NA,"villipes",NA,NA,NA,NA,NA,NA,NA,2004,"04","28",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Lavandula sp",75,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_75"
"Andrena",NA,"flava",NA,NA,NA,NA,NA,NA,NA,2004,"03","16",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Allyssum sp",76,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_76"
"Andrena",NA,"tenuistriata",NA,NA,NA,NA,NA,NA,NA,2004,"03","16",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Erica sp",77,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_77"
"Andrena",NA,"(microandrena)",NA,NA,NA,NA,NA,NA,NA,2004,"06","22",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Daucus sp",78,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_78"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","21",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",80,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_79"
"Halictus",NA,"sp",NA,NA,NA,NA,NA,NA,NA,2004,"06","21",NA,NA,NA,"L.O. Aguado",0,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",81,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_80"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"07","06",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",82,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_81"
"Halictus",NA,"gemmeus",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sedum sp",83,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_82"
"Hylaeus",NA,"nigritus",NA,NA,NA,NA,NA,NA,NA,2005,"06","14",NA,NA,NA,"L.O. Aguado",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Sonchus sp",84,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_83"
"Hylaeus",NA,"variegatus",NA,NA,NA,NA,NA,NA,NA,2005,"06","21",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Daucus sp",85,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_84"
"Lasioglossum",NA,"interruptum",NA,NA,NA,NA,NA,NA,NA,2004,"07","06",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",86,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_85"
"Hylaeus",NA,"variegatus",NA,NA,NA,NA,NA,NA,NA,2004,"07","07",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Daucus sp",87,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_86"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"06","29",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",88,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_87"
"Lasioglossum",NA,"parvulum",NA,NA,NA,NA,NA,NA,NA,2004,"07","06",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",89,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_88"
"Lasioglossum",NA,"interruptum",NA,NA,NA,NA,NA,NA,NA,2004,"07","06",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",90,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_89"
"Lasioglossum",NA,"pauxillum",NA,NA,NA,NA,NA,NA,NA,2004,"05","14",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Carpobrotus sp",91,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_90"
"Hylaeus",NA,"nigritus",NA,NA,NA,NA,NA,NA,NA,2004,"07","08",NA,NA,NA,"L.O. Aguado",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",92,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_91"
"Hylaeus",NA,"bisinuatus",NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,"I. Bartomeus",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","NA NA",93,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_92"
"Hylaeus",NA,"nigritus",NA,NA,NA,NA,NA,NA,NA,2004,"07","07",NA,NA,NA,"F.J. Ortiz",1,0,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",94,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_93"
"Hylaeus",NA,"imparallis",NA,NA,NA,NA,NA,NA,NA,2004,"07","08",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",95,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_94"
"Hylaeus",NA,"bisinuatus",NA,NA,NA,NA,NA,NA,NA,2004,"06","23",NA,NA,NA,"L.O. Aguado",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Daucus sp",96,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_95"
"Colletes",NA,"nigricans",NA,NA,NA,NA,NA,NA,NA,2004,"05","18",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Dorycnium pentaphyllum",97,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_96"
"Colletes",NA,"nigricans",NA,NA,NA,NA,NA,NA,NA,2004,"07","06",NA,NA,NA,"F.J. Ortiz",0,1,0,NA,"https://doi.org/10.1007/s00442-007-0946-1","Eryngium sp",98,"I. Bartomeus",NA,NA,"15_Bartomeus_etal_97"
